OBJECTID,HoodName,HoodID,F2021_Population_Projection,Assault_2014,Assault_2015,Assault_2016,Assault_2017,Assault_2018,Assault_2019,Assault_2020,Assault_2021,Assault_Rate2014,Assault_Rate2015,Assault_Rate2016,Assault_Rate2017,Assault_Rate2018,Assault_Rate2019,Assault_Rate2020,Assault_Rate2021,AutoTheft_2014,AutoTheft_2015,AutoTheft_2016,AutoTheft_2017,AutoTheft_2018,AutoTheft_2019,AutoTheft_2020,AutoTheft_2021,AutoTheft_Rate2014,AutoTheft_Rate2015,AutoTheft_Rate2016,AutoTheft_Rate2017,AutoTheft_Rate2018,AutoTheft_Rate2019,AutoTheft_Rate2020,AutoTheft_Rate2021,BreakAndEnter_2014,BreakAndEnter_2015,BreakAndEnter_2016,BreakAndEnter_2017,BreakAndEnter_2018,BreakAndEnter_2019,BreakAndEnter_2020,BreakAndEnter_2021,BreakAndEnter_Rate2014,BreakAndEnter_Rate2015,BreakAndEnter_Rate2016,BreakAndEnter_Rate2017,BreakAndEnter_Rate2018,BreakAndEnter_Rate2019,BreakAndEnter_Rate2020,BreakAndEnter_Rate2021,Robbery_2014,Robbery_2015,Robbery_2016,Robbery_2017,Robbery_2018,Robbery_2019,Robbery_2020,Robbery_2021,Robbery_Rate2014,RobberyRate_2015,Robbery_Rate2016,Robbery_Rate2017,Robbery_Rate2018,Robbery_Rate2019,Robbery_Rate2020,Robbery_Rate2021,TheftOver_2014,TheftOver_2015,TheftOver_2016,TheftOver_2017,TheftOver_2018,TheftOver_2019,TheftOver_2020,TheftOver_2021,TheftOver_Rate2014,TheftOver_Rate2015,TheftOver_Rate2016,TheftOver_Rate2017,TheftOver_Rate2018,TheftOver_Rate2019,TheftOver_Rate2020,TheftOver_Rate2021,Homicide_2014,Homicide_2015,Homicide_2016,Homicide_2017,Homicide_2018,Homicide_2019,Homicide_2020,Homicide_2021,Homicide_Rate2014,Homicide_Rate2015,Homicide_Rate2016,Homicide_Rate2017,Homicide_Rate2018,Homicide_Rate2019,Homicide_Rate2020,Homicide_Rate2021,Shootings_2014,Shootings_2015,Shootings_2016,Shootings_2017,Shootings_2018,Shootings_2019,Shootings_2020,Shootings_2021,Shooting_Rate2014,Shootings_Rate2015,Shootings_Rate2016,Shootings_Rate2017,Shootings_Rate2018,Shootings_Rate2019,Shootings_Rate2020,Shootings_Rate2021,TheftfromMotorVehicle_2014,TheftfromMotorVehicle_2015,TheftfromMotorVehicle_2016,TheftfromMotorVehicle_2017,TheftfromMotorVehicle_2018,TheftfromMotorVehicle_2019,TheftfromMotorVehicle_2020,TheftfromMotorVehicle_2021,TheftfromMotorVehicle_Rate2014,TheftfromMotorVehicle_Rate2015,TheftfromMotorVehicle_Rate2016,TheftfromMotorVehicle_Rate2017,TheftfromMotorVehicle_Rate2018,TheftfromMotorVehicle_Rate2019,TheftfromMotorVehicle_Rate2020,TheftfromMotorVehicle_Rate2021,Shape__Area,Shape__Length
1,Yonge-St.Clair,097,14362,16,25,34,25,28,35,23,55,127.0144,196.1246,262.5482,189.179,207.2846,253.8071,163.3175,382.955,2,3,7,2,6,6,9,14,15.8768,23.53495,54.05405,15.13432,44.41812,43.50979,63.90684,97.47946,37,20,12,18,24,28,27,30,293.7207,156.8997,92.66409,136.2088,177.6725,203.0457,191.7205,208.8846,4,1,6,1,1,4,5,5,31.75359,7.844983,46.33205,7.567159,7.40302,29.00653,35.5038,34.81409,3,5,7,0,3,6,3,3,23.81519,39.22491,54.05405,0,22.20906,43.50979,21.30228,20.88846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.722008,0,0,0,0,0,8,11,8,7,23,22,20,23,63.50718,86.29482,61.77606,52.97011,170.2695,159.5359,142.0152,160.1448266,2222541.62890625,8130.72667990559
2,York University Heights,027,30660,273,298,363,351,362,382,348,339,950.5571,1041.485,1269.32,1211.097,1230.33,1279.861,1149.387,1105.675,109,100,109,91,92,147,187,172,379.5265,349.4915,381.1455,313.988,312.6805,492.5118,617.6306,560.9915,108,140,98,105,122,111,105,115,376.0446,489.2881,342.6813,362.2938,414.6416,371.8967,346.7979,375.0815,58,85,70,76,94,84,48,40,201.9499,297.0678,244.7724,262.2317,319.478,281.4353,158.5362,130.4632,30,46,38,40,38,31,42,33,104.4568,160.7661,132.8764,138.0167,129.1507,103.863,138.7192,107.6321,1,0,2,0,1,0,1,6,3.48189415,0,6.993496,0,0,0,3.302837,19.56947162,2,0,4,10,8,6,12,13,6.963789,0,13.98699,34.50417,27.18961,20.10252,39.63404,42.40052185,142,123,138,163,174,161,262,204,494.429,429.8745,482.5512,562.418,591.3741,539.4177,865.3433,665.3620352,25418410.5390625,25632.5596300802
3,Lansing-Westgate,038,18577,42,81,67,84,69,70,100,97,261.0966,494.6263,400.6698,492.5531,395.8919,393.5901,551.0856,522.1511,18,22,26,27,16,30,46,60,111.8985,134.3429,155.4838,158.3206,91.80102,168.6815,253.4994,322.98,34,27,41,42,50,39,39,16,211.3639,164.8754,245.186,246.2765,286.8782,219.2859,214.9234,86.12801,12,6,6,14,32,12,11,13,74.59903,36.63898,35.88087,82.09218,183.602,67.47259,60.61942,69.979,4,5,5,11,6,10,9,5,24.86634,30.53249,29.90073,64.501,34.42538,56.22716,49.59771,26.915,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,0,0,5.980146,0,5.737564,11.24543,5.510856,10.76600097,22,30,38,32,53,74,88,40,136.7649,183.1949,227.2455,187.6393,304.0909,416.081,484.9554,215.3200194,10254188.4960938,15391.392845547
4,Yorkdale-Glen Park,031,18100,106,137,175,163,178,210,157,166,697.5061,902.0279,1149.199,1031.841,1086.558,1237.405,894.0775,917.1271,67,53,41,54,64,64,88,92,440.8765,348.9597,269.2409,341.8371,390.6727,377.1139,501.1389,508.2873,51,57,66,62,67,90,81,66,335.5926,375.2963,433.4121,392.4796,408.9855,530.3164,461.2756,364.6409,23,21,24,34,47,42,40,17,151.3457,138.2671,157.6044,215.2307,286.9003,247.481,227.7904,93.92265,23,15,26,23,20,30,18,21,151.3457,98.76218,170.7381,145.5973,122.0852,176.7721,102.5057,116.0221,1,1,1,1,2,1,1,1,6.580246101,6.584146,6.566851,6.330316,6.104261,5.892405,5.694761,5.524861878,3,3,3,7,10,17,14,9,19.74074,19.75244,19.70055,44.31221,61.04261,100.1709,79.72665,49.72375691,105,76,63,77,97,86,130,113,690.9258,500.3951,413.7116,487.4343,592.1133,506.7468,740.3189,624.3093923,11566946.4335938,13953.647804753
5,Stonegate-Queensway,016,27838,91,74,78,98,86,83,105,77,354.9696,288.1732,302.5249,374.5318,323.2961,307.3277,383.0719,276.6003,38,32,14,34,31,35,48,69,148.229,124.6154,54.29934,129.9396,116.537,129.596,175.1186,247.8626,72,45,49,50,39,64,35,30,280.855,175.2405,190.0477,191.0877,146.611,236.9756,127.6906,107.7664,17,10,13,25,26,24,20,18,66.313,38.94233,50.42082,95.54384,97.74068,88.86585,72.96607,64.65982,8,8,4,6,8,4,5,7,31.20612,31.15386,15.5141,22.93052,30.07406,14.81098,18.24152,25.14548,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.592212084,3,2,0,1,1,1,0,0,11.70229,7.788465,0,3.821754,3.759257,3.702744,0,0,92,61,50,57,79,73,97,57,358.8703,237.5482,193.9262,217.84,296.9813,270.3003,353.8854,204.7560888,15182501.84375,16380.5791810606
6,Tam O'Shanter-Sullivan,118,30375,103,88,100,120,131,108,131,119,364.7955,312.256,354.1829,418.8336,450.2802,365.6431,437.1038,391.7696,23,19,21,16,31,24,37,56,81.45918,67.41892,74.37841,55.84447,106.5548,81.25402,123.4568,184.3621,49,68,62,54,77,67,54,15,173.5435,241.2888,219.5934,188.4751,264.6685,226.8341,180.1802,49.38272,27,37,24,27,17,31,18,13,95.626,131.2895,85.0039,94.23755,58.4333,104.9531,60.06006,42.79836,4,7,8,8,3,3,3,5,14.16681,24.83855,28.33463,27.92224,10.31176,10.15675,10.01001,16.46091,0,1,0,0,1,2,1,0,0,3.548364,0,0,6.874506,6.771168,3.33667,0,0,3,2,2,4,2,2,4,0,10.64509,7.083658,6.980559,13.74901,6.771168,6.67334,13.16872428,65,56,43,77,54,60,57,58,230.2107,198.7084,152.2986,268.7515,185.6117,203.1351,190.1902,190.9465021,10408625.3085938,14891.6561831407
7,The Beaches,063,23649,88,106,81,114,99,82,88,92,399.2922,479.9203,364.717,506.5991,434.3629,355.1628,376.6478,389.0228,8,24,7,11,29,21,23,31,36.29929,108.6612,31.51875,48.88237,127.2376,90.95634,98.44205,131.0838,45,42,77,34,43,58,64,39,204.1835,190.1571,346.7063,151.091,188.6627,251.2128,273.9257,164.9118,18,12,19,48,13,17,6,15,81.6734,54.3306,85.5509,213.3049,57.03756,73.63132,25.68053,63.42763,8,5,3,8,6,9,10,7,36.29929,22.63775,13.50804,35.55082,26.32503,38.98129,42.80089,29.59956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8.662509,0,0,75,98,66,63,98,53,60,47,340.3058,443.6999,297.1768,279.9627,429.9754,229.5565,256.8053,198.7399044,6877562.94921875,15586.2977059986
8,Thistletown-Beaumond Heights,003,10982,64,56,46,56,53,75,56,61,604.8006,527.2077,430.873,521.3667,490.1961,688.642,511.5089,555.4544,10,14,15,22,44,52,43,44,94.50009,131.8019,140.5021,204.8226,406.9552,477.4585,392.7658,400.6556,22,23,23,17,16,14,11,8,207.9002,216.5317,215.4365,158.272,147.9837,128.5465,100.475,72.84647,19,23,15,23,11,10,9,6,179.5502,216.5317,140.5021,214.1328,101.7388,91.81893,82.20679,54.63486,1,3,1,4,2,3,5,1,9.450009,28.24327,9.366804,37.24048,18.49796,27.54568,45.67044,9.105809,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,1,1,0,9.414423,18.73361,18.62024,9.248982,27.54568,9.134089,9.105809506,27,55,36,20,35,39,55,40,255.1503,517.7933,337.205,186.2024,323.7144,358.0938,502.3749,364.2323803,6402264.50390625,14990.6269256542
9,Thorncliffe Park,055,23812,86,104,88,98,94,119,97,117,409.5238,486.3904,403.4846,441.4812,415.1943,516.0898,412.45,491.3489,12,12,4,9,12,15,20,16,57.14286,56.12197,18.34021,40.54419,53.00353,65.05334,85.04124,67.19301,34,27,24,19,24,28,41,35,161.9048,126.2744,110.0413,85.5933,106.0071,121.4329,174.3345,146.9847,16,7,15,9,4,13,5,14,76.19048,32.73782,68.77579,40.54419,17.66784,56.37957,21.26031,58.79388,9,6,11,9,4,5,3,0,42.85714,28.06099,50.43558,40.54419,17.66784,21.68445,12.75619,0,3,2,1,4,0,0,2,0,14.28571429,9.353662,4.585052,18.01964,0,0,8.504125,0,1,2,1,2,3,8,9,3,4.761905,9.353662,4.585052,9.009821,13.25088,34.69512,38.26856,12.59868974,25,15,30,24,30,27,26,34,119.0476,70.15247,137.5516,108.1179,132.5088,117.096,110.5536,142.7851503,5987301.66796875,10380.5647927832
10,Danforth East York,059,18566,68,55,41,78,79,85,57,60,387.9286,312.2516,231.4031,436.0221,436.8503,465.5493,309.3287,323.1714,6,9,12,9,14,9,16,15,34.22899,51.09572,67.72774,50.31025,77.4165,49.29346,86.82911,80.79285,31,24,42,25,18,24,33,23,176.8498,136.2552,237.0471,139.7507,99.5355,131.4492,179.085,123.8824,2,7,4,8,10,8,9,5,11.40966,39.74112,22.57591,44.72022,55.2975,43.81641,48.84137,26.93095,1,3,4,0,3,8,5,4,5.704832,17.03191,22.57591,0,16.58925,43.81641,27.1341,21.54476,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.426819,0,0,0,0,2,0,1,0,1,0,0,0,11.18005,0,5.477051,0,5.386189809,59,65,42,19,37,83,59,58,336.5851,369.0246,237.0471,106.2105,204.6008,454.5952,320.1823,312.3990089,4188644.30078125,10540.8188787806
