Region,Sex,Age group,Year,"Rate (per 100,000)",Counts,Population
Canada,Both sexes,'1+',2000,916,266370,29093840
Canada,Both sexes,'1-19',2000,1633,112920,6916540
Canada,Both sexes,'20-34',2000,666,40740,6114470
Canada,Both sexes,'35-49',2000,634,47190,7447850
Canada,Both sexes,'50-64',2000,688,32980,4794220
Canada,Both sexes,'65-79',2000,860,24500,2847500
Canada,Both sexes,'80+',2000,826,8040,973260
Canada,Both sexes,'1+',2001,830,242500,29208860
Canada,Both sexes,'1-19',2001,1531,104450,6822460
Canada,Both sexes,'20-34',2001,592,36080,6099040
Canada,Both sexes,'35-49',2001,567,42350,7468920
Canada,Both sexes,'50-64',2001,603,29840,4952530
Canada,Both sexes,'65-79',2001,772,22020,2852190
Canada,Both sexes,'80+',2001,766,7760,1013710
Canada,Both sexes,'1+',2002,760,223130,29340900
Canada,Both sexes,'1-19',2002,1452,97810,6738030
Canada,Both sexes,'20-34',2002,543,33090,6096220
Canada,Both sexes,'35-49',2002,515,38440,7464140
Canada,Both sexes,'50-64',2002,543,27820,5123710
Canada,Both sexes,'65-79',2002,669,19190,2867580
Canada,Both sexes,'80+',2002,645,6780,1051220
Canada,Both sexes,'1+',2003,725,213800,29488870
Canada,Both sexes,'1-19',2003,1396,92920,6655030
Canada,Both sexes,'20-34',2003,516,31500,6103030
Canada,Both sexes,'35-49',2003,497,37030,7446910
Canada,Both sexes,'50-64',2003,509,26990,5302320
Canada,Both sexes,'65-79',2003,640,18520,2892550
Canada,Both sexes,'80+',2003,628,6840,1089050
Canada,Both sexes,'1+',2004,694,205800,29644810
Canada,Both sexes,'1-19',2004,1363,89760,6586740
Canada,Both sexes,'20-34',2004,481,29340,6101150
Canada,Both sexes,'35-49',2004,475,35270,7419850
Canada,Both sexes,'50-64',2004,481,26440,5494260
Canada,Both sexes,'65-79',2004,611,17820,2917100
Canada,Both sexes,'80+',2004,637,7170,1125720
Canada,Both sexes,'1+',2005,695,207720,29867570
Canada,Both sexes,'1-19',2005,1441,94350,6546310
Canada,Both sexes,'20-34',2005,469,28670,6108400
Canada,Both sexes,'35-49',2005,462,34230,7410220
Canada,Both sexes,'50-64',2005,472,26850,5685900
Canada,Both sexes,'65-79',2005,573,16910,2953460
Canada,Both sexes,'80+',2005,576,6700,1163270
Canada,Both sexes,'1+',2006,637,190610,29900910
Canada,Both sexes,'1-19',2006,1303,84440,6481260
Canada,Both sexes,'20-34',2006,443,26980,6085750
Canada,Both sexes,'35-49',2006,443,32350,7296790
Canada,Both sexes,'50-64',2006,435,25410,5836860
Canada,Both sexes,'65-79',2006,519,15560,2997020
Canada,Both sexes,'80+',2006,489,5880,1203240
Canada,Both sexes,'1+',2007,583,174920,30013780
Canada,Both sexes,'1-19',2007,1171,75520,6450000
Canada,Both sexes,'20-34',2007,403,24570,6090970
Canada,Both sexes,'35-49',2007,409,29340,7180070
Canada,Both sexes,'50-64',2007,414,24850,5996170
Canada,Both sexes,'65-79',2007,487,14860,3053520
Canada,Both sexes,'80+',2007,465,5780,1243030
Canada,Both sexes,'1+',2008,564,173250,30730760
Canada,Both sexes,'1-19',2008,1158,75820,6545910
Canada,Both sexes,'20-34',2008,377,23460,6229710
Canada,Both sexes,'35-49',2008,394,28460,7219820
Canada,Both sexes,'50-64',2008,393,24690,6279890
Canada,Both sexes,'65-79',2008,469,14860,3165530
Canada,Both sexes,'80+',2008,462,5960,1289900
Canada,Both sexes,'1+',2009,564,174840,31003790
Canada,Both sexes,'1-19',2009,1173,76720,6539500
Canada,Both sexes,'20-34',2009,380,23880,6276070
Canada,Both sexes,'35-49',2009,400,28630,7152370
Canada,Both sexes,'50-64',2009,390,25190,6463470
Canada,Both sexes,'65-79',2009,453,14690,3245170
