Scenario,Region,Variable,Type,Year,Value,Unit
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2005,271,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2006,313.1,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2007,313.1,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2008,313.1,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2009,323.2,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2010,340.2,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2011,358.697,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2012,413.797,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2013,416.646,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2014,438.3,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2015,428,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2016,281.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2017,281.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2018,272.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2019,272.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2020,281.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2021,281.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2022,301.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2023,351.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2024,342.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2025,351.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2026,351.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2027,342.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2028,392.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2029,392.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2030,401.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2031,392.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2032,392.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2033,451.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2034,451.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2035,442.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2036,442.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2037,451.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2038,451.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2039,451.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2040,442.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2041,442.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2042,442.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2043,451.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2044,442.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2045,442.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2046,442.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2047,442.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2048,442.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2049,451.61,Megwatts
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2050,451.61,Megwatts
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2005,742.5,Megwatts
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2006,742.5,Megwatts
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2007,742.5,Megwatts
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2008,742.5,Megwatts
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2009,742.5,Megwatts
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2010,790.5,Megwatts
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2011,791.5,Megwatts
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2012,791.5,Megwatts
