Scenario,Region,Variable,Type,Year,Value,Unit
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2005,1725.168,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2006,1855.169,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2007,1870.362,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2008,1917.388,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2009,1861.5,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2010,1908.777,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2011,1972.19,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2012,2089.118,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2013,2250.1,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2014,3497.7,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2015,2120.298,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2016,2127.448,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2017,1158.511,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2018,1837.126,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2019,1844.108,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2020,1631.825,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2021,1631.824,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2022,1807.0229,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2023,1807.0242,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2024,1807.0228,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2025,1807.0241,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2026,1807.0228,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2027,1807.0229,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2028,1807.0228,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2029,1807.0229,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2030,1807.024,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2031,1801.6367,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2032,1788.0174,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2033,1786.062,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2034,1782.5503,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2035,1780.1917,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2036,1800.0056,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2037,1802.1981,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2038,1833.44,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2039,1836.9159,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2040,1832.7877,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2041,1843.8211,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2042,1838.9723,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2043,1904.379,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2044,1899.511,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2045,1901.9755,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2046,2094.9637,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2047,2137.7179,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2048,2035.3227,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2049,1870.1956,GWh
Current Policies,Alberta,Biomass / Geothermal,Primary Fuel,2050,1878.6381,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2005,2863.407,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2006,2948.704,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2007,2948.704,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2008,2467.383,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2009,2162.837,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2010,3810.735,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2011,4110.999,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2012,4034.091,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2013,3821.901,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2014,5856.074,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2015,3658.621,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2016,4486.414,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2017,1858.063,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2018,3319.555,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2019,3275.151,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2020,3275.15,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2021,3275.15,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2022,3275.151,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2023,3275.151,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2024,3275.151,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2025,3275.151,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2026,3275.15,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2027,3275.152,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2028,3275.151,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2029,3275.151,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2030,3275.151,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2031,3275.151,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2032,3275.151,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2033,3275.152,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2034,3275.152,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2035,3275.151,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2036,3275.15,GWh
Current Policies,British Columbia,Biomass / Geothermal,Primary Fuel,2037,3275.151,GWh
