Scenario,Region,Variable,Year,Value,Sector,Unit
Current Policies,Alberta,Natural Gas,2005,1526.3102,Primary Demand,Petajoules
Current Policies,Alberta,RPP,2005,1154.1531,Primary Demand,Petajoules
Current Policies,Alberta,Other Renewables and Landfill Gas,2005,145.9298,Primary Demand,Petajoules
Current Policies,Alberta,Hydro,2005,8.3338,Primary Demand,Petajoules
Current Policies,Alberta,Nuclear,2005,0,Primary Demand,Petajoules
Current Policies,Alberta,"Coal, Coke and Coke Oven Gas",2005,547.8619,Primary Demand,Petajoules
Current Policies,Alberta,Total,2005,3382.5888,Primary Demand,Petajoules
Current Policies,Alberta,Natural Gas,2006,1661.7993,Primary Demand,Petajoules
Current Policies,Alberta,RPP,2006,1227.2801,Primary Demand,Petajoules
Current Policies,Alberta,Other Renewables and Landfill Gas,2006,114.3099,Primary Demand,Petajoules
Current Policies,Alberta,Hydro,2006,7.0743,Primary Demand,Petajoules
Current Policies,Alberta,Nuclear,2006,0,Primary Demand,Petajoules
Current Policies,Alberta,"Coal, Coke and Coke Oven Gas",2006,548.4518,Primary Demand,Petajoules
Current Policies,Alberta,Total,2006,3558.9154,Primary Demand,Petajoules
Current Policies,Alberta,Natural Gas,2007,1780.3211,Primary Demand,Petajoules
Current Policies,Alberta,RPP,2007,1259.1143,Primary Demand,Petajoules
Current Policies,Alberta,Other Renewables and Landfill Gas,2007,113.4544,Primary Demand,Petajoules
Current Policies,Alberta,Hydro,2007,7.6033,Primary Demand,Petajoules
Current Policies,Alberta,Nuclear,2007,0,Primary Demand,Petajoules
Current Policies,Alberta,"Coal, Coke and Coke Oven Gas",2007,547.8378,Primary Demand,Petajoules
Current Policies,Alberta,Total,2007,3708.3309,Primary Demand,Petajoules
Current Policies,Alberta,Natural Gas,2008,1810.4033,Primary Demand,Petajoules
Current Policies,Alberta,RPP,2008,1207.1675,Primary Demand,Petajoules
Current Policies,Alberta,Other Renewables and Landfill Gas,2008,115.1878,Primary Demand,Petajoules
Current Policies,Alberta,Hydro,2008,7.7364,Primary Demand,Petajoules
Current Policies,Alberta,Nuclear,2008,0,Primary Demand,Petajoules
Current Policies,Alberta,"Coal, Coke and Coke Oven Gas",2008,478.8209,Primary Demand,Petajoules
Current Policies,Alberta,Total,2008,3619.3159,Primary Demand,Petajoules
Current Policies,Alberta,Natural Gas,2009,1800.7144,Primary Demand,Petajoules
Current Policies,Alberta,RPP,2009,1201.2559,Primary Demand,Petajoules
Current Policies,Alberta,Other Renewables and Landfill Gas,2009,96.7686,Primary Demand,Petajoules
Current Policies,Alberta,Hydro,2009,6.0992,Primary Demand,Petajoules
Current Policies,Alberta,Nuclear,2009,0,Primary Demand,Petajoules
Current Policies,Alberta,"Coal, Coke and Coke Oven Gas",2009,472.9082,Primary Demand,Petajoules
Current Policies,Alberta,Total,2009,3577.7463,Primary Demand,Petajoules
Current Policies,Alberta,Natural Gas,2010,1918.7299,Primary Demand,Petajoules
Current Policies,Alberta,RPP,2010,1282.4423,Primary Demand,Petajoules
Current Policies,Alberta,Other Renewables and Landfill Gas,2010,125.7569,Primary Demand,Petajoules
Current Policies,Alberta,Hydro,2010,5.8293,Primary Demand,Petajoules
Current Policies,Alberta,Nuclear,2010,0,Primary Demand,Petajoules
Current Policies,Alberta,"Coal, Coke and Coke Oven Gas",2010,425.8327,Primary Demand,Petajoules
Current Policies,Alberta,Total,2010,3758.5911,Primary Demand,Petajoules
Current Policies,Alberta,Natural Gas,2011,2008.6414,Primary Demand,Petajoules
Current Policies,Alberta,RPP,2011,1270.6263,Primary Demand,Petajoules
Current Policies,Alberta,Other Renewables and Landfill Gas,2011,120.2078,Primary Demand,Petajoules
Current Policies,Alberta,Hydro,2011,7.3262,Primary Demand,Petajoules
Current Policies,Alberta,Nuclear,2011,0,Primary Demand,Petajoules
Current Policies,Alberta,"Coal, Coke and Coke Oven Gas",2011,454.7476,Primary Demand,Petajoules
Current Policies,Alberta,Total,2011,3861.5493,Primary Demand,Petajoules
Current Policies,Alberta,Natural Gas,2012,2177.9471,Primary Demand,Petajoules
Current Policies,Alberta,RPP,2012,1374.8849,Primary Demand,Petajoules
Current Policies,Alberta,Other Renewables and Landfill Gas,2012,129.1474,Primary Demand,Petajoules
Current Policies,Alberta,Hydro,2012,8.3446,Primary Demand,Petajoules
Current Policies,Alberta,Nuclear,2012,0,Primary Demand,Petajoules
Current Policies,Alberta,"Coal, Coke and Coke Oven Gas",2012,343.5307,Primary Demand,Petajoules
Current Policies,Alberta,Total,2012,4033.8547,Primary Demand,Petajoules
Current Policies,Alberta,Natural Gas,2013,2282.0637,Primary Demand,Petajoules
Current Policies,Alberta,RPP,2013,1349.3098,Primary Demand,Petajoules
Current Policies,Alberta,Other Renewables and Landfill Gas,2013,143.9722,Primary Demand,Petajoules
Current Policies,Alberta,Hydro,2013,7.2974,Primary Demand,Petajoules
Current Policies,Alberta,Nuclear,2013,0,Primary Demand,Petajoules
Current Policies,Alberta,"Coal, Coke and Coke Oven Gas",2013,377.5838,Primary Demand,Petajoules
Current Policies,Alberta,Total,2013,4160.2269,Primary Demand,Petajoules
Current Policies,Alberta,Natural Gas,2014,2290.0784,Primary Demand,Petajoules
Current Policies,Alberta,RPP,2014,1353.9127,Primary Demand,Petajoules
Current Policies,Alberta,Other Renewables and Landfill Gas,2014,146.4412,Primary Demand,Petajoules
Current Policies,Alberta,Hydro,2014,6.5539,Primary Demand,Petajoules
Current Policies,Alberta,Nuclear,2014,0,Primary Demand,Petajoules
Current Policies,Alberta,"Coal, Coke and Coke Oven Gas",2014,397.3196,Primary Demand,Petajoules
Current Policies,Alberta,Total,2014,4194.3058,Primary Demand,Petajoules
Current Policies,Alberta,Natural Gas,2015,2457.3666,Primary Demand,Petajoules
Current Policies,Alberta,RPP,2015,1322.9543,Primary Demand,Petajoules
Current Policies,Alberta,Other Renewables and Landfill Gas,2015,140.7845,Primary Demand,Petajoules
Current Policies,Alberta,Hydro,2015,7.1139,Primary Demand,Petajoules
Current Policies,Alberta,Nuclear,2015,0,Primary Demand,Petajoules
Current Policies,Alberta,"Coal, Coke and Coke Oven Gas",2015,380.1889,Primary Demand,Petajoules
Current Policies,Alberta,Total,2015,4308.4082,Primary Demand,Petajoules
Current Policies,Alberta,Natural Gas,2016,2434.9186,Primary Demand,Petajoules
Current Policies,Alberta,RPP,2016,1290.7554,Primary Demand,Petajoules
Current Policies,Alberta,Other Renewables and Landfill Gas,2016,122.3426,Primary Demand,Petajoules
Current Policies,Alberta,Hydro,2016,7.0923,Primary Demand,Petajoules
Current Policies,Alberta,Nuclear,2016,0,Primary Demand,Petajoules
Current Policies,Alberta,"Coal, Coke and Coke Oven Gas",2016,482.5652,Primary Demand,Petajoules
Current Policies,Alberta,Total,2016,4337.6741,Primary Demand,Petajoules
Current Policies,Alberta,Natural Gas,2017,2492.1193,Primary Demand,Petajoules
Current Policies,Alberta,RPP,2017,1342.3731,Primary Demand,Petajoules
Current Policies,Alberta,Other Renewables and Landfill Gas,2017,118.8794,Primary Demand,Petajoules
Current Policies,Alberta,Hydro,2017,7.4198,Primary Demand,Petajoules
Current Policies,Alberta,Nuclear,2017,0,Primary Demand,Petajoules
Current Policies,Alberta,"Coal, Coke and Coke Oven Gas",2017,403.0069,Primary Demand,Petajoules
Current Policies,Alberta,Total,2017,4363.7985,Primary Demand,Petajoules
Current Policies,Alberta,Natural Gas,2018,2675.9981,Primary Demand,Petajoules
Current Policies,Alberta,RPP,2018,1387.8887,Primary Demand,Petajoules
Current Policies,Alberta,Other Renewables and Landfill Gas,2018,154.196,Primary Demand,Petajoules
Current Policies,Alberta,Hydro,2018,7.1643,Primary Demand,Petajoules
Current Policies,Alberta,Nuclear,2018,0,Primary Demand,Petajoules
Current Policies,Alberta,"Coal, Coke and Coke Oven Gas",2018,318.6345,Primary Demand,Petajoules
Current Policies,Alberta,Total,2018,4543.8816,Primary Demand,Petajoules
Current Policies,Alberta,Natural Gas,2019,2721.7373,Primary Demand,Petajoules
Current Policies,Alberta,RPP,2019,1416.8762,Primary Demand,Petajoules
Current Policies,Alberta,Other Renewables and Landfill Gas,2019,155.2844,Primary Demand,Petajoules
Current Policies,Alberta,Hydro,2019,7.3514,Primary Demand,Petajoules
Current Policies,Alberta,Nuclear,2019,0,Primary Demand,Petajoules
Current Policies,Alberta,"Coal, Coke and Coke Oven Gas",2019,298.846,Primary Demand,Petajoules
Current Policies,Alberta,Total,2019,4600.0953,Primary Demand,Petajoules
Current Policies,Alberta,Natural Gas,2020,2598.9024,Primary Demand,Petajoules
Current Policies,Alberta,RPP,2020,1274.0581,Primary Demand,Petajoules
