Year,Sea ice area
1968,1.26
1969,1.59
1970,1.46
1971,1.37
1972,1.66
1973,1.33
1974,1.45
1975,1.31
1976,1.46
1977,1.27
1978,1.67
1979,1.43
1980,1.4
1981,1.17
1982,1.35
1983,1.6
1984,1.47
1985,1.35
1986,1.54
1987,1.39
1988,1.26
1989,1.4
1990,1.4
1991,1.43
1992,1.63
1993,1.3
1994,1.36
1995,1.2
1996,1.51
1997,1.26
1998,0.85
1999,1.11
2000,1.24
2001,1.23
2002,1.27
2003,1.19
2004,1.37
2005,1.17
2006,0.99
2007,0.93
2008,0.9
2009,1.14
2010,0.83
2011,0.74
2012,0.7
2013,1.12
2014,1.04
2015,1.11
2016,0.79
2017,0.94
2018,1.23
2019,0.82
2020,1.04
