Region,Sex,Age group,Year,"Rate (per 100,000)",Counts,Population
Canada,Both sexes,'35+',2000,1072,170530,15901630
Canada,Both sexes,'35-49',2000,431,32920,7629670
Canada,Both sexes,'50-64',2000,1028,48990,4765480
Canada,Both sexes,'65-79',2000,2296,60830,2648940
Canada,Both sexes,'80+',2000,3241,27790,857540
Canada,Both sexes,'35+',2001,1002,161680,16135560
Canada,Both sexes,'35-49',2001,413,31700,7680190
Canada,Both sexes,'50-64',2001,951,46840,4926100
Canada,Both sexes,'65-79',2001,2127,56220,2643420
Canada,Both sexes,'80+',2001,3040,26930,885860
Canada,Both sexes,'35+',2002,908,148660,16365850
Canada,Both sexes,'35-49',2002,374,28820,7701930
Canada,Both sexes,'50-64',2002,864,44070,5099640
Canada,Both sexes,'65-79',2002,1902,50430,2651260
Canada,Both sexes,'80+',2002,2775,25340,913010
Canada,Both sexes,'35+',2003,908,150740,16608210
Canada,Both sexes,'35-49',2003,370,28520,7710890
Canada,Both sexes,'50-64',2003,852,44990,5283570
Canada,Both sexes,'65-79',2003,1910,51020,2671800
Canada,Both sexes,'80+',2003,2783,26210,941950
Canada,Both sexes,'35+',2004,896,150930,16851340
Canada,Both sexes,'35-49',2004,370,28550,7710220
Canada,Both sexes,'50-64',2004,842,46140,5479920
Canada,Both sexes,'65-79',2004,1850,49790,2691700
Canada,Both sexes,'80+',2004,2727,26440,969490
Canada,Both sexes,'35+',2005,861,147480,17123060
Canada,Both sexes,'35-49',2005,364,28120,7726490
Canada,Both sexes,'50-64',2005,817,46360,5675580
Canada,Both sexes,'65-79',2005,1744,47490,2722820
Canada,Both sexes,'80+',2005,2556,25510,998160
Canada,Both sexes,'35+',2006,841,145100,17260860
Canada,Both sexes,'35-49',2006,362,27660,7637540
Canada,Both sexes,'50-64',2006,797,46480,5832020
Canada,Both sexes,'65-79',2006,1665,45990,2762010
Canada,Both sexes,'80+',2006,2426,24970,1029280
Canada,Both sexes,'35+',2007,863,150250,17417070
Canada,Both sexes,'35-49',2007,391,29530,7543580
Canada,Both sexes,'50-64',2007,826,49510,5996990
Canada,Both sexes,'65-79',2007,1651,46480,2815210
Canada,Both sexes,'80+',2007,2330,24730,1061290
Canada,Both sexes,'35+',2008,904,161840,17903590
Canada,Both sexes,'35-49',2008,436,33150,7605130
Canada,Both sexes,'50-64',2008,874,54900,6282630
Canada,Both sexes,'65-79',2008,1652,48200,2917410
Canada,Both sexes,'80+',2008,2329,25580,1098400
Canada,Both sexes,'35+',2009,945,171490,18139820
Canada,Both sexes,'35-49',2009,444,33540,7554110
Canada,Both sexes,'50-64',2009,931,60190,6465870
Canada,Both sexes,'65-79',2009,1703,50920,2990840
Canada,Both sexes,'80+',2009,2376,26820,1128980
Canada,Both sexes,'35+',2010,939,172800,18408820
Canada,Both sexes,'35-49',2010,447,33620,7518430
Canada,Both sexes,'50-64',2010,921,61290,6656810
Canada,Both sexes,'65-79',2010,1660,50960,3070410
Canada,Both sexes,'80+',2010,2314,26920,1163170
Canada,Both sexes,'35+',2011,887,165610,18666600
Canada,Both sexes,'35-49',2011,408,30520,7483060
Canada,Both sexes,'50-64',2011,857,58110,6781860
Canada,Both sexes,'65-79',2011,1569,50340,3207900
Canada,Both sexes,'80+',2011,2231,26630,1193780
Canada,Both sexes,'35+',2012,859,162790,18944030
Canada,Both sexes,'35-49',2012,390,29000,7442230
Canada,Both sexes,'50-64',2012,825,57100,6919460
Canada,Both sexes,'65-79',2012,1485,49850,3357100
Canada,Both sexes,'80+',2012,2191,26850,1225260
Canada,Both sexes,'35+',2013,830,159520,19215060
Canada,Both sexes,'35-49',2013,363,26900,7403050
Canada,Both sexes,'50-64',2013,806,56860,7055770
Canada,Both sexes,'65-79',2013,1422,49840,3504320
Canada,Both sexes,'80+',2013,2070,25910,1251910
Canada,Both sexes,'35+',2014,849,165110,19457260
Canada,Both sexes,'35-49',2014,349,25780,7379880
Canada,Both sexes,'50-64',2014,817,58570,7167470
Canada,Both sexes,'65-79',2014,1458,53210,3649520
Canada,Both sexes,'80+',2014,2187,27570,1260420
Canada,Both sexes,'35+',2015,822,161960,19710220
Canada,Both sexes,'35-49',2015,337,24900,7395900
Canada,Both sexes,'50-64',2015,805,58320,7243640
Canada,Both sexes,'65-79',2015,1399,53060,3791610
Canada,Both sexes,'80+',2015,2008,25680,1279060
Canada,Both sexes,'35+',2016,826,165330,20011500
Canada,Both sexes,'35-49',2016,321,23950,7460820
Canada,Both sexes,'50-64',2016,806,58820,7295460
Canada,Both sexes,'65-79',2016,1423,56090,3942520
Canada,Both sexes,'80+',2016,2016,26470,1312690
Canada,Both sexes,'35+',2017,809,164020,20276670
Canada,Both sexes,'35-49',2017,306,23070,7527010
Canada,Both sexes,'50-64',2017,793,57990,7309890
Canada,Both sexes,'65-79',2017,1389,56860,4094000
Canada,Both sexes,'80+',2017,1939,26090,1345750
Canada,Females,'35+',2000,1018,83930,8248020
Canada,Females,'35-49',2000,444,16920,3807510
Canada,Females,'50-64',2000,972,23280,2395500
Canada,Females,'65-79',2000,1927,28210,1463790
Canada,Females,'80+',2000,2670,15520,581220
Canada,Females,'35+',2001,958,80080,8360610
Canada,Females,'35-49',2001,427,16340,3830760
Canada,Females,'50-64',2001,900,22290,2475560
Canada,Females,'65-79',2001,1808,26300,1454890
Canada,Females,'80+',2001,2528,15150,599400
Canada,Females,'35+',2002,867,73450,8472290
Canada,Females,'35-49',2002,388,14890,3840700
Canada,Females,'50-64',2002,816,20900,2562820
Canada,Females,'65-79',2002,1610,23390,1452660
Canada,Females,'80+',2002,2315,14260,616100
Canada,Females,'35+',2003,877,75320,8588930
Canada,Females,'35-49',2003,386,14840,3842570
Canada,Females,'50-64',2003,814,21620,2656440
Canada,Females,'65-79',2003,1639,23880,1456670
Canada,Females,'80+',2003,2366,14980,633240
Canada,Females,'35+',2004,870,75700,8705330
Canada,Females,'35-49',2004,384,14760,3841130
Canada,Females,'50-64',2004,815,22440,2754250
Canada,Females,'65-79',2004,1605,23440,1460690
Canada,Females,'80+',2004,2318,15050,649250
Canada,Females,'35+',2005,833,73650,8836890
Canada,Females,'35-49',2005,378,14550,3850040
Canada,Females,'50-64',2005,780,22240,2851210
Canada,Females,'65-79',2005,1515,22280,1470410
Canada,Females,'80+',2005,2192,14580,665220
Canada,Females,'35+',2006,813,72360,8905130
Canada,Females,'35-49',2006,378,14390,3807000
Canada,Females,'50-64',2006,761,22320,2931450
Canada,Females,'65-79',2006,1454,21590,1485020
Canada,Females,'80+',2006,2064,14070,681670
Canada,Females,'35+',2007,832,74710,8982220
Canada,Females,'35-49',2007,400,15050,3762060
Canada,Females,'50-64',2007,792,23870,3014910
Canada,Females,'65-79',2007,1455,21920,1506920
Canada,Females,'80+',2007,1988,13880,698340
Canada,Females,'35+',2008,867,79990,9226870
Canada,Females,'35-49',2008,436,16550,3794780
Canada,Females,'50-64',2008,838,26480,3158850
Canada,Females,'65-79',2008,1460,22700,1555070
Canada,Females,'80+',2008,1987,14270,718180
Canada,Females,'35+',2009,913,85300,9344640
Canada,Females,'35-49',2009,452,17070,3772610
Canada,Females,'50-64',2009,897,29170,3250780
Canada,Females,'65-79',2009,1509,23960,1587770
Canada,Females,'80+',2009,2057,15090,733460
Canada,Females,'35+',2010,904,85650,9476150
Canada,Females,'35-49',2010,451,16940,3756040
Canada,Females,'50-64',2010,882,29510,3345590
Canada,Females,'65-79',2010,1488,24170,1624640
Canada,Females,'80+',2010,2004,15030,749880
Canada,Females,'35+',2011,846,81280,9602110
Canada,Females,'35-49',2011,401,14990,3740790
Canada,Females,'50-64',2011,815,27760,3405740
Canada,Females,'65-79',2011,1410,23850,1692020
Canada,Females,'80+',2011,1921,14670,763540
Canada,Females,'35+',2012,817,79600,9737870
Canada,Females,'35-49',2012,386,14380,3722170
Canada,Females,'50-64',2012,784,27220,3472680
Canada,Females,'65-79',2012,1319,23280,1765330
Canada,Females,'80+',2012,1893,14720,777700
Canada,Females,'35+',2013,781,77060,9871350
Canada,Females,'35-49',2013,356,13170,3703940
Canada,Females,'50-64',2013,752,26620,3538630
Canada,Females,'65-79',2013,1256,23110,1839840
Canada,Females,'80+',2013,1795,14160,788930
Canada,Females,'35+',2014,800,79940,9992320
Canada,Females,'35-49',2014,341,12610,3695280
Canada,Females,'50-64',2014,766,27530,3594020
Canada,Females,'65-79',2014,1299,24850,1912810
Canada,Females,'80+',2014,1892,14950,790210
Canada,Females,'35+',2015,776,78540,10118910
Canada,Females,'35-49',2015,331,12260,3706710
Canada,Females,'50-64',2015,760,27610,3630650
Canada,Females,'65-79',2015,1244,24700,1984890
Canada,Females,'80+',2015,1755,13980,796670
Canada,Females,'35+',2016,783,80420,10270700
Canada,Females,'35-49',2016,315,11790,3741330
Canada,Females,'50-64',2016,765,27980,3655570
Canada,Females,'65-79',2016,1275,26290,2061950
Canada,Females,'80+',2016,1769,14360,811850
Canada,Females,'35+',2017,763,79400,10404740
Canada,Females,'35-49',2017,294,11080,3774990
Canada,Females,'50-64',2017,750,27460,3663190
Canada,Females,'65-79',2017,1246,26670,2139840
Canada,Females,'80+',2017,1714,14170,826690
Canada,Males,'35+',2000,1131,86600,7653610
Canada,Males,'35-49',2000,419,16000,3822150
Canada,Males,'50-64',2000,1085,25710,2369980
Canada,Males,'65-79',2000,2753,32630,1185160
Canada,Males,'80+',2000,4437,12260,276320
Canada,Males,'35+',2001,1050,81600,7774950
Canada,Males,'35-49',2001,399,15360,3849440
Canada,Males,'50-64',2001,1002,24550,2450540
Canada,Males,'65-79',2001,2517,29910,1188520
Canada,Males,'80+',2001,4116,11790,286470
Canada,Males,'35+',2002,953,75210,7893560
Canada,Males,'35-49',2002,361,13920,3861220
Canada,Males,'50-64',2002,913,23160,2536800
Canada,Males,'65-79',2002,2257,27050,1198620
Canada,Males,'80+',2002,3728,11070,296910
Canada,Males,'35+',2003,940,75420,8019280
Canada,Males,'35-49',2003,353,13670,3868300
Canada,Males,'50-64',2003,889,23360,2627130
Canada,Males,'65-79',2003,2234,27140,1215130
Canada,Males,'80+',2003,3641,11240,308720
Canada,Males,'35+',2004,924,75240,8146010
Canada,Males,'35-49',2004,356,13790,3869090
Canada,Males,'50-64',2004,870,23700,2725670
Canada,Males,'65-79',2004,2140,26340,1231000
Canada,Males,'80+',2004,3557,11390,320240
Canada,Males,'35+',2005,891,73840,8286190
Canada,Males,'35-49',2005,350,13570,3876460
Canada,Males,'50-64',2005,854,24120,2824370
Canada,Males,'65-79',2005,2012,25200,1252410
Canada,Males,'80+',2005,3286,10940,332950
Canada,Males,'35+',2006,871,72740,8355730
Canada,Males,'35-49',2006,347,13280,3830550
Canada,Males,'50-64',2006,833,24160,2900580
Canada,Males,'65-79',2006,1910,24390,1276980
Canada,Males,'80+',2006,3138,10910,347620
Canada,Males,'35+',2007,896,75550,8434850
Canada,Males,'35-49',2007,383,14480,3781520
Canada,Males,'50-64',2007,860,25650,2982090
Canada,Males,'65-79',2007,1878,24570,1308300
Canada,Males,'80+',2007,2992,10860,362960
Canada,Males,'35+',2008,943,81850,8676710
Canada,Males,'35-49',2008,436,16610,3810360
Canada,Males,'50-64',2008,910,28420,3123790
Canada,Males,'65-79',2008,1871,25490,1362330
Canada,Males,'80+',2008,2975,11310,380210
Canada,Males,'35+',2009,980,86190,8795180
Canada,Males,'35-49',2009,436,16480,3781500
Canada,Males,'50-64',2009,965,31020,3215100
Canada,Males,'65-79',2009,1922,26960,1403060
Canada,Males,'80+',2009,2966,11730,395510
Canada,Males,'35+',2010,976,87140,8932670
Canada,Males,'35-49',2010,444,16690,3762410
Canada,Males,'50-64',2010,960,31780,3311210
Canada,Males,'65-79',2010,1853,26790,1445770
Canada,Males,'80+',2010,2879,11900,413300
Canada,Males,'35+',2011,930,84330,9064500
Canada,Males,'35-49',2011,415,15530,3742260
Canada,Males,'50-64',2011,899,30360,3376140
Canada,Males,'65-79',2011,1747,26480,1515870
